Page Tested,CUMULATIVE LAYOUT SHIFT,First Contentful Paint,First Input Delay,LARGEST CONTENTFUL PAINT,Speed Index,Time To Interactive,First Meaningful Paint
https://disruptiveadvertising.com/,FAST,0.6 s,FAST,FAST,1.9 s,4.3 s,0.6 s
https://disruptiveadvertising.com/conversion-rate-optimization-services/,FAST,0.5 s,FAST,FAST,1.2 s,3.6 s,0.5 s
https://disruptiveadvertising.com/creative-services/,FAST,0.6 s,FAST,FAST,1.3 s,3.7 s,0.6 s
https://disruptiveadvertising.com/social-media/facebook-power-5/,FAST,0.6 s,FAST,FAST,1.3 s,3.8 s,0.6 s
https://disruptiveadvertising.com/marketing/feeling-like-2021-was-a-step-back-from-2020-its-crucial-to-stay-focused-in-2022/,FAST,0.5 s,FAST,FAST,1.6 s,4.2 s,0.5 s
https://disruptiveadvertising.com/about/,FAST,1.1 s,FAST,FAST,1.8 s,4.1 s,1.1 s
https://disruptiveadvertising.com/lifecycle-marketing/lead-nurture/,FAST,0.7 s,FAST,FAST,1.4 s,3.4 s,0.7 s
https://disruptiveadvertising.com/about/our-mission/,FAST,0.7 s,FAST,FAST,1.2 s,3.2 s,0.7 s
https://disruptiveadvertising.com/careers/,FAST,0.6 s,FAST,FAST,1.3 s,3.8 s,0.6 s
https://disruptiveadvertising.com/video-advertising/video-motion-creative/,FAST,0.5 s,FAST,FAST,2.6 s,5.7 s,0.5 s
https://disruptiveadvertising.com/partners/,FAST,0.6 s,FAST,FAST,1.4 s,3.7 s,0.6 s
https://disruptiveadvertising.com/ppc/ecommerce/ecommerce-buyer-personas/,FAST,0.6 s,FAST,FAST,2.1 s,4.7 s,0.6 s
https://disruptiveadvertising.com/industry/education/,FAST,0.5 s,FAST,FAST,1.5 s,4.0 s,0.7 s
https://disruptiveadvertising.com/privacy-policy/,FAST,0.9 s,FAST,FAST,1.5 s,3.9 s,0.9 s
https://disruptiveadvertising.com/industry/ecommerce/,FAST,0.5 s,FAST,FAST,1.4 s,3.9 s,0.5 s
https://disruptiveadvertising.com/industry/insurance/,FAST,0.8 s,FAST,FAST,1.5 s,3.9 s,0.8 s
https://disruptiveadvertising.com/industry/b2b/,FAST,0.6 s,FAST,FAST,1.5 s,4.1 s,0.6 s
https://disruptiveadvertising.com/about/meet-our-team/,FAST,0.7 s,FAST,FAST,1.5 s,3.9 s,0.8 s
https://disruptiveadvertising.com/industry/legal/,FAST,0.6 s,FAST,FAST,1.5 s,4.0 s,0.6 s
https://disruptiveadvertising.com/audit-form/,FAST,0.7 s,FAST,FAST,2.3 s,4.3 s,0.7 s